ID,symbol
AT1G70560,TAA1
AT1G70560,TAA1
AT4G32540,YUC1
AT5G11320,YUC4
AT3G62980,TIR1
AT3G02260,BIG
AT3G02260,BIG
AT1G70940,PIN3
AT2G01420,PIN4
AT1G23080,PIN7
AT4G13260,YUC2
AT5G43890,YUC5
AT4G28720,YUC8
AT1G04180,YUC9
AT4G31500,CYP83B1/ATR4/RED1/RNT1/RUNT1/SUR2
AT1G52830,IAA6
AT3G15540,IAA19
AT2G39940,COI1
AT2G46370,JAR1
AT5G42650,AOS
AT2G06050,OPR3
AT5G07000,ST2B
AT1G17380,JAZ5
AT1G70700,JAZ9
AT1G19180,JAZ1
AT1G74950,JAZ2
AT4G36380,ROT3
AT1G18400,BEE1/2/3
AT4G36540,BEE2
AT1G73830,BEE3
AT5G08130,BIM1/2/3
AT1G69010,BIM2
AT5G38860,BIM3
AT5G60690,REV (REVOLUTA)
AT4G25420,GA20ox1
AT5G51810,GA20ox2
AT4G02780,ga1
AT1G14920,GAI
AT1G14920,GAI
AT2G01570,RGA
AT1G66350,RGL1
AT3G03450,RGL2
AT1G09570,PHYA
AT2G18790,PHYB
AT2G18790,PHYB
AT1G09570,PHYA
AT2G18790,PHYB
AT1G09570,PHYA
AT2G18790,PHYB
AT2G18790,PHYB
AT4G16250,PHYD
AT2G18790,PHYB
AT4G16250,PHYD
AT4G18130,PHYE
AT1G09570,PHYA
AT2G18790,PHYB
AT4G16250,PHYD
AT5G11260,HY5
AT5G11260,HY5
AT5G11260,HY5
AT5G11260,HY5
AT3G17609,HYH
AT2G46340,SPA1
AT4G11110,SPA2
AT3G15354,SPA3
AT1G53090,SPA4
AT2G32950,COP1
AT1G75540,BBX21/STH2
AT1G75540,BBX21/STH2
AT1G75540,BBX21/STH2
AT1G75540,BBX21/STH2
AT2G21320,BBX18/DBB1a
AT2G21320,BBX18/DBB1a
AT4G38960,BBX19/DBB1b
AT1G78600,BBX22/DBB3/LZF1
AT1G78600,BBX22/DBB3/LZF1
AT1G78600,BBX22/DBB3/LZF1
AT1G75540,BBX21/STH2
AT1G78600,BBX22/DBB3/LZF1
AT1G75540,BBX21/STH2
AT2G32950,COP1
AT1G78600,BBX22/DBB3/LZF1
AT1G78600,BBX22/DBB3/LZF1
AT2G31380,STH/BBX25
AT1G06040,STO/BBX24
AT1G73870,COL7 (CO-like 7)/BBX16
AT2G46370,JAR1
AT5G59560,SRR!
AT2G02950,PKS1
AT1G14280,PKS2
AT5G04190,PKS4
AT2G20180,PIF1/PIL5
AT5G49230,HRB1
AT4G08920,CRY1
AT1G04400,CRY2
At1g10470,ARR4
AT5G02760,MIDA9
AT5G02760,MIDA9
AT1G02340,HFR1
AT1G02340,HFR1
AT4G16780,ATHB2
AT4G36930,SPT
AT4G36930,SPT
AT4G36930,SPT
AT1G25540,PFT1
AT2G46970,PIL1
AT2G46970,PIL1
AT1G09530,PIF3
AT1G09530,PIF3
AT2G43010,PIF4
AT3G59060,PIF5
AT5G61270,PIF7
AT5G16560,KAN1 (KANADI)
AT5G17690,TFL2
AT4G17230,SCL13
AT2G42870,PAR1
AT3G58850,PAR2
AT2G44910,ATHB4
AT4G16780,ATHB2
AT4G16780,ATHB2
AT3G60390,HAT3
AT3G54610,HAT1
AT5G46240,KAT1
AT3G52770,ZPR3
AT1G01183,miR165a
AT3G09600,RVE8
AT4G02380,ATLEA5
AT5G17880,CSA1
AT4G14130,XTH15
AT1G65310,XTH17
AT2G25930,ELF3
AT5G24470,PRR5
AT5G15840,CO
AT1G22770,GI
AT5G10140,FLC