ID,symbol,source
AT1G09570,PHYA,Kazu_et_al_2015
AT2G18790,PHYB,Kazu_et_al_2015
AT4G08920,CRY1,Kazu_et_al_2015
AT1G04400,CRY2,Kazu_et_al_2015
AT1G10470,ARR4,Kazu_et_al_2015
AT4G11110,SPA2,Kazu_et_al_2015
AT1G53090,SPA4,Kazu_et_al_2015
AT3G15354,SPA3,Kazu_et_al_2015
AT2G46340,SPA1,Kazu_et_al_2015
AT2G32950,COP1,Kazu_et_al_2015
AT1G75540,BBX21,Kazu_et_al_2015
AT1G06040,BBX24,Kazu_et_al_2015
AT5G11260,HY5,Kazu_et_al_2015
AT1G09530,PIF3,Kazu_et_al_2015
AT2G43010,PIF4,Kazu_et_al_2015
AT3G59060,PIF5,Kazu_et_al_2015
AT5G61270,PIF7,Kazu_et_al_2015
AT2G46970,PIL1,Kazu_et_al_2015
AT4G36930,SPT,Kazu_et_al_2015
AT4G13260,YUC2,Kazu_et_al_2015
AT5G43890,YUC5,Kazu_et_al_2015
AT4G28720,YUC8,Kazu_et_al_2015
AT1G04180,YUC9,Kazu_et_al_2015
AT4G31500,ATR4,Kazu_et_al_2015
AT2G42870,PAR1,Kazu_et_al_2015
AT3G58850,PAR2,Kazu_et_al_2015
AT5G46240,KAT1,Kazu_et_al_2015
AT1G75080,BZR1,Kazu_et_al_2015
AT4G39400,BRI1,Kazu_et_al_2015
AT4G14130,XTH15,Kazu_et_al_2015
AT1G65310,XTH17,Kazu_et_al_2015
AT4G36380,ROT3,Kazu_et_al_2015
AT2G01570,RGA1,Kazu_et_al_2015
AT1G66350,RGL1,Kazu_et_al_2015
AT3G03450,RGL2,Kazu_et_al_2015
AT5G17490,RGL3,Kazu_et_al_2015
AT1G14920,RGA2,Kazu_et_al_2015
AT1G17380,JAZ5,Kazu_et_al_2015
AT5G13220,JAZ10,Kazu_et_al_2015
AT2G46370,JAR1,Kazu_et_al_2015
AT2G39940,COI1,Kazu_et_al_2015
AT5G42650,AOS,Kazu_et_al_2015
AT2G06050,OPR3,Kazu_et_al_2015
AT1G32640,MYC2,Kazu_et_al_2015
AT5G46760,MYC3,Kazu_et_al_2015
AT4G17880,MYC4,Kazu_et_al_2015
AT1G25540,MED25,Kazu_et_al_2015
AT1G25540,PFT1,Kazu_et_al_2015
AT4G02780,GA1,Kazu_et_al_2015
AT4G25420,GA20OX1,Kazu_et_al_2015
AT5G51810,GA20OX2,Kazu_et_al_2015
AT3G09600,RVE8,Kazu_et_al_2015
AT2G25930,ELF3,Kazu_et_al_2015
AT5G24470,PRR5,Kazu_et_al_2015
AT1G52830,IAA6,Kazu_et_al_2015
AT3G15540,IAA19,Kazu_et_al_2015
AT1G78600,LZF1,Kazu_et_al_2015
AT1G70560,TAA1,Kazu_et_al_2015
AT4G17230,SCL13,Kazu_et_al_2015
AT1G02340,HFR1,Kazu_et_al_2015